ts,tweet_id,author_id,text,lang,country_code,location,tag,translated_text,sentiment,score
2022-06-01 02:14:20,1531821418148777984,1132840546815418370,@user @user Jesus fucking Christ the tiny Putin got me laughing.,en,,,russia,@SpediceyPie69 @Chasetine100 Jesus fucking Christ the tiny Putin got me laughing.,Negative,0.5577231049537659
2022-06-01 02:14:21,1531821423584346113,912393485185032192,"Hilariously, this one is also really anti-Ukraine.",en,,Dark Blue Suburban NorCal,ukraine,"Hilariously, this one is also really anti-Ukraine.",Negative,0.7829636335372925
2022-06-01 02:14:23,1531821431968997377,1499397579368394764,"on the next truck, which brought to Vinnytsia dead servicemen who died in the Donbass, a cynical inscription ""flaunted"" : Good evening, we are from Ukraine. )) 😊",en,,,ukraine,"on the next truck, which brought to Vinnytsia dead servicemen who died in the Donbass, a cynical inscription ""flaunted"" : Good evening, we are from Ukraine. )) 😊",Neutral,0.5877005457878113
2022-06-01 02:14:27,1531821446636666880,38153311,@user Whippersnappers,en,,unsettled Australia,ukraine,@CanadianUkrain1 Whippersnappers,Neutral,0.6975154876708984
2022-06-01 02:14:27,1531821444962869248,888449203688677377,@user Good!,en,,"Kyiv, Ukraine",ukraine,@spook_info Good!,Positive,0.946015477180481
2022-06-01 02:14:30,1531821461337276417,1498776617618841602,@AVindman @POTUS @nytopinion But Biden and has band of yahoos refuse to even suggest providing emergency funds to America's public schools for basic security upgrades,en,,"Yuma, AZ",ukraine,@AVindman @POTUS @nytopinion But Biden and has band of yahoos refuse to even suggest providing emergency funds to America's public schools for basic security upgrades,Negative,0.6480404138565063
2022-06-01 02:14:32,1531821465959600128,2801176518,"@BillKristol I'm sharing this because this was exactly how i saw so many posts about Mr Marcos and how he was helping individuals with their trades and i decided to give it a try and luckly it went well, Contact him via his profile link below 👇👇 @user",en,,"Tampa, FL",russia,"@BillKristol I'm sharing this because this was exactly how i saw so many posts about Mr Marcos and how he was helping individuals with their trades and i decided to give it a try and luckly it went well, Contact him via his profile link below 👇👇  @IMMarcosDA",Positive,0.9045394062995911
2022-06-01 02:14:34,1531821477284048897,1363165893388242951,@CBSNewYork Why? We aren’t Ukraine lol get this shit outta here,en,,"California, USA",ukraine,@CBSNewYork Why? We aren’t Ukraine lol get this shit outta here,Negative,0.8756879568099976
2022-06-01 02:14:36,1531821483995107329,1236005922,"@user La flota de aviones (que putin robo) no tienen repuestos, y no los recibirán. Cuanto mas antes que empiecen a caer aviones civiles por falta de repuestos?",es,,,russia,"@ElCuerv0Nica The fleet of airplanes (which putin steal) do not have spare parts, and will not receive them. The sooner they begin to fall civilian planes due to lack of spare parts?",Negative,0.8312519192695618
2022-06-01 02:14:41,1531821504517656576,288585259,Russia cuts gas supplies to Netherlands and firms in Denmark and Germany http,en,,,russia,Russia cuts gas supplies to Netherlands and firms in Denmark and Germany http,Neutral,0.6330487132072449
